# Legal initial-final pairs for the Rui'an pinyin syllable dictionary.
# Source basis: Jie Yong Ki / 張永愷, Rui'an dialect reading dictionary tables, pp. 437-439.
# Codes follow ruian_pinyin_scheme.docx: o=o, oe=IPA ɔ, uoe=IPA uɔ, yoe=IPA yɔ.
# Columns: initial<TAB>final<TAB>source
# Empty initial is written as Ø.
hh	ei	p437-p439
hh	ia	p437-p439
hh	iao	p437-p439
hh	iou	p437-p439
hh	ie	p437-p439
hh	iae	p437-p439
hh	io	p437-p439
hh	uai	p437-p439
hh	uo	p437-p439
hh	uoe	p437-p439
hh	yo	p437-p439
hh	yue	p437-p439
hh	yoe	p437-p439
hh	ang	p437-p439
hh	eng	p437-p439
hh	ong	p437-p439
hh	iang	p437-p439
hh	iong	p437-p439
j	i	p437-p439
j	yu	p437-p439
j	ia	p437-p439
j	iao	p437-p439
j	iou	p437-p439
j	ie	p437-p439
j	iae	p437-p439
j	io	p437-p439
j	yo	p437-p439
j	yue	p437-p439
j	yoe	p437-p439
j	iang	p437-p439
j	iong	p437-p439
q	i	p437-p439
q	yu	p437-p439
q	ia	p437-p439
q	iao	p437-p439
q	iou	p437-p439
q	ie	p437-p439
q	iae	p437-p439
q	io	p437-p439
q	yo	p437-p439
q	yue	p437-p439
q	yoe	p437-p439
q	iang	p437-p439
q	iong	p437-p439
jj	i	p437-p439
jj	yu	p437-p439
jj	ia	p437-p439
jj	iao	p437-p439
jj	iou	p437-p439
jj	ie	p437-p439
jj	iae	p437-p439
jj	io	p437-p439
jj	yo	p437-p439
jj	yue	p437-p439
jj	yoe	p437-p439
jj	iang	p437-p439
jj	iong	p437-p439
nj	i	p437-p439
nj	yu	p437-p439
nj	ia	p437-p439
nj	iao	p437-p439
nj	iou	p437-p439
nj	ie	p437-p439
nj	iae	p437-p439
nj	io	p437-p439
nj	yo	p437-p439
nj	yue	p437-p439
nj	yoe	p437-p439
nj	iang	p437-p439
nj	iong	p437-p439
x	i	p437-p439
x	yu	p437-p439
x	ia	p437-p439
x	iao	p437-p439
x	iou	p437-p439
x	ie	p437-p439
x	iae	p437-p439
x	io	p437-p439
x	yo	p437-p439
x	yue	p437-p439
x	yoe	p437-p439
x	iang	p437-p439
x	iong	p437-p439
z	a	p437-p439
z	o	p437-p439
z	oe	p437-p439
z	ae	p437-p439
z	e	p437-p439
z	i	p437-p439
z	u	p437-p439
z	ao	p437-p439
z	ai	p437-p439
z	ou	p437-p439
z	ei	p437-p439
z	ia	p437-p439
z	iao	p437-p439
z	iou	p437-p439
z	ie	p437-p439
z	ang	p437-p439
z	eng	p437-p439
z	ong	p437-p439
c	a	p437-p439
c	o	p437-p439
c	oe	p437-p439
c	ae	p437-p439
c	e	p437-p439
c	i	p437-p439
c	u	p437-p439
c	ao	p437-p439
c	ai	p437-p439
c	ou	p437-p439
c	ei	p437-p439
c	ia	p437-p439
c	iao	p437-p439
c	iou	p437-p439
c	ie	p437-p439
c	ang	p437-p439
c	eng	p437-p439
c	ong	p437-p439
zz	a	p437-p439
zz	o	p437-p439
zz	oe	p437-p439
zz	ae	p437-p439
zz	e	p437-p439
zz	i	p437-p439
zz	u	p437-p439
zz	ao	p437-p439
zz	ai	p437-p439
zz	ou	p437-p439
zz	ei	p437-p439
zz	ia	p437-p439
zz	iao	p437-p439
zz	iou	p437-p439
zz	ie	p437-p439
zz	ang	p437-p439
zz	eng	p437-p439
zz	ong	p437-p439
s	a	p437-p439
s	o	p437-p439
s	oe	p437-p439
s	ae	p437-p439
s	e	p437-p439
s	i	p437-p439
s	u	p437-p439
s	ao	p437-p439
s	ai	p437-p439
s	ou	p437-p439
s	ei	p437-p439
s	ia	p437-p439
s	iao	p437-p439
s	iou	p437-p439
s	ie	p437-p439
s	ang	p437-p439
s	eng	p437-p439
s	ong	p437-p439
zs	a	p437-p439
zs	o	p437-p439
zs	oe	p437-p439
zs	ae	p437-p439
zs	e	p437-p439
zs	i	p437-p439
zs	u	p437-p439
zs	ao	p437-p439
zs	ai	p437-p439
zs	ou	p437-p439
zs	ei	p437-p439
zs	ia	p437-p439
zs	iao	p437-p439
zs	iou	p437-p439
zs	ie	p437-p439
zs	ang	p437-p439
zs	eng	p437-p439
zs	ong	p437-p439
