char	code	weight	source	note	old_code	status
鬲	lei7	1	ruianese.character_01.dict.yaml:176	already valid	lei7	ok
孬	nae6	1	ruianese.character_01.dict.yaml:177	already valid	nae6	ok
夏	hho8	1	ruianese.character_01.dict.yaml:178	already valid	hho8	ok
焉	ie1	1	ruianese.character_01.dict.yaml:180	already valid	ie1	ok
堇	jiang2	1	ruianese.character_01.dict.yaml:181	already valid	jiang2	ok
爽	sjuo	1	ruianese.character_01.dict.yaml:182	no valid mapping; tried sjuo	sjuo	unresolved
甦	seju1	1	ruianese.character_01.dict.yaml:183	no valid mapping; tried seju1	seju1	unresolved
棘	jie7	1	ruianese.character_01.dict.yaml:184	already valid	jie7	ok
奡	ngae8	1	ruianese.character_01.dict.yaml:185	already valid	ngae8	ok
皕	bei4	1	ruianese.character_01.dict.yaml:186	already valid	bei4	ok
尠	sie2	1	ruianese.character_01.dict.yaml:187	already valid	sie2	ok
尠	xie2	1	ruianese.character_01.dict.yaml:188	already valid	xie2	ok
尟	sie2	1	ruianese.character_01.dict.yaml:189	already valid	sie2	ok
尟	xie2	1	ruianese.character_01.dict.yaml:190	already valid	xie2	ok
賴	la8	1	ruianese.character_01.dict.yaml:191	already valid	la8	ok
壽	zzou8	1	ruianese.character_01.dict.yaml:192	already valid	zzou8	ok
爾	zzi6	1	ruianese.character_01.dict.yaml:193	already valid	zzi6	ok
暨	jji8	1	ruianese.character_01.dict.yaml:194	jjii8->jji8	jjii8	converted
奭	seo3	1	ruianese.character_01.dict.yaml:195	no valid mapping; tried seo3	seo3	unresolved
賾	zza7	1	ruianese.character_01.dict.yaml:196	already valid	zza7	ok
鼒	zi1	1	ruianese.character_01.dict.yaml:197	already valid	zi1	ok
鼒	zze5	1	ruianese.character_01.dict.yaml:198	already valid	zze5	ok
憂	iao1	1	ruianese.character_01.dict.yaml:199	already valid	iao1	ok
黇	tiae1	1	ruianese.character_01.dict.yaml:200	no valid mapping; tried tiae1	tiae1	unresolved
黇	zie1	1	ruianese.character_01.dict.yaml:201	already valid	zie1	ok
黇	jie1	1	ruianese.character_01.dict.yaml:202	already valid	jie1	ok
整	zeng2	1	ruianese.character_01.dict.yaml:203	already valid	zeng2	ok
噩	ngoe7	1	ruianese.character_01.dict.yaml:204	ngoo7->ngoe7	ngoo7	converted
臻	zang1	1	ruianese.character_01.dict.yaml:205	already valid	zang1	ok
鬴	fu2	1	ruianese.character_01.dict.yaml:206	fvu2->fu2	fvu2	converted
釜	fu2	1	ruianese.character_01.dict.yaml:207	fvu2->fu2	fvu2	converted
釐	lei5	1	ruianese.character_01.dict.yaml:208	already valid	lei5	ok
醫	i1	1	ruianese.character_01.dict.yaml:209	ii1->i1	ii1	converted
囊	noe5	1	ruianese.character_01.dict.yaml:210	noo5->noe5	noo5	converted
也	ia2	1	ruianese.character_01.dict.yaml:213	already valid	ia2	ok
中	zong1	1	ruianese.character_01.dict.yaml:215	already valid	zong1	ok
中	zong4	1	ruianese.character_01.dict.yaml:216	already valid	zong4	ok
中	jiong1	1	ruianese.character_01.dict.yaml:217	already valid	jiong1	ok
中	jiong4	1	ruianese.character_01.dict.yaml:218	already valid	jiong4	ok
内	nai8	1	ruianese.character_01.dict.yaml:219	already valid	nai8	ok
吊	duoe4	1	ruianese.character_01.dict.yaml:220	duoo4->duoe4	duoo4	converted
弔	duoe4	1	ruianese.character_01.dict.yaml:221	duoo4->duoe4	duoo4	converted
書	seju1	1	ruianese.character_01.dict.yaml:222	no valid mapping; tried seju1	seju1	unresolved
卡	ka2	1	ruianese.character_01.dict.yaml:223	already valid	ka2	ok
卡	ko2	1	ruianese.character_01.dict.yaml:224	already valid	ko2	ok
北	bei3	1	ruianese.character_01.dict.yaml:225	already valid	bei3	ok
凸	dde7	1	ruianese.character_01.dict.yaml:226	ddeu7->dde7	ddeu7	converted
舊	jjiao8	1	ruianese.character_01.dict.yaml:227	already valid	jjiao8	ok
舊	jjiao5	1	ruianese.character_01.dict.yaml:228	already valid	jjiao5	ok
歸	jyu1	1	ruianese.character_01.dict.yaml:229	already valid	jyu1	ok
歸	gai1	1	ruianese.character_01.dict.yaml:230	already valid	gai1	ok
甲	go3	1	ruianese.character_01.dict.yaml:231	already valid	go3	ok
申	sang1	1	ruianese.character_01.dict.yaml:232	already valid	sang1	ok
電	ddie8	1	ruianese.character_01.dict.yaml:233	already valid	ddie8	ok
由	xiao5	1	ruianese.character_01.dict.yaml:234	xyiao5->xiao5	xyiao5	converted
冉	xie6	1	ruianese.character_01.dict.yaml:235	xyie6->xie6	xyie6	converted
冉	zzie6	1	ruianese.character_01.dict.yaml:236	already valid	zzie6	ok
央	iae1	1	ruianese.character_01.dict.yaml:237	already valid	iae1	ok
史	si2	1	ruianese.character_01.dict.yaml:238	already valid	si2	ok
半	be4	1	ruianese.character_01.dict.yaml:239	beu4->be4	beu4	converted
凹	o1	1	ruianese.character_01.dict.yaml:240	already valid	o1	ok
出	cjueu3	1	ruianese.character_01.dict.yaml:241	no valid mapping; tried cjueu3, cjue3	cjueu3	unresolved
出	qyue3	1	ruianese.character_01.dict.yaml:242	qjueu3->qyue3	qjueu3	converted
齣	cjueu3	1	ruianese.character_01.dict.yaml:243	no valid mapping; tried cjueu3, cjue3	cjueu3	unresolved
齣	qyue3	1	ruianese.character_01.dict.yaml:244	qjueu3->qyue3	qjueu3	converted
師	si1	1	ruianese.character_01.dict.yaml:246	already valid	si1	ok
抴	xi7	1	ruianese.character_01.dict.yaml:247	xyii7->xi7	xyii7	converted
曳	xi8	1	ruianese.character_01.dict.yaml:248	xyii8->xi8	xyii8	converted
曲	qiou8	1	ruianese.character_01.dict.yaml:249	already valid	qiou8	ok
曲	qjuo8	1	ruianese.character_01.dict.yaml:250	no valid mapping; tried qjuo8	qjuo8	unresolved
麯	qiou8	1	ruianese.character_01.dict.yaml:251	already valid	qiou8	ok
麴	qiou8	1	ruianese.character_01.dict.yaml:252	already valid	qiou8	ok
肉	nyou7	1	ruianese.character_01.dict.yaml:253	no valid mapping; tried nyou7, njou7	nyou7	unresolved
羋	mei6	1	ruianese.character_01.dict.yaml:254	already valid	mei6	ok
縣	xie7	1	ruianese.character_01.dict.yaml:255	xyie7->xie7	xyie7	converted
縣	xyue7	1	ruianese.character_01.dict.yaml:256	xyjue7->xyue7	xyjue7	converted
串	qyue4	1	ruianese.character_01.dict.yaml:257	qjue4->qyue4	qjue4	converted
串	cong4	1	ruianese.character_01.dict.yaml:258	already valid	cong4	ok
非	fei1	1	ruianese.character_01.dict.yaml:259	already valid	fei1	ok
