char	code	weight	source	note	old_code	status
繫	xi8	1	ruianese.character_01.dict.yaml:379	xyii8->xi8	xyii8	converted
系	xi8	1	ruianese.character_01.dict.yaml:380	xyii8->xi8	xyii8	converted
垂	zjeu5	1	ruianese.character_01.dict.yaml:382	no valid mapping; tried zjeu5, zje5	zjeu5	unresolved
乖	ga1	1	ruianese.character_01.dict.yaml:383	already valid	ga1	ok
秉	bong2	1	ruianese.character_01.dict.yaml:384	already valid	bong2	ok
臾	vju5	1	ruianese.character_01.dict.yaml:385	no valid mapping; tried vju5	vju5	unresolved
卑	bai1	1	ruianese.character_01.dict.yaml:386	already valid	bai1	ok
阜	vau6	1	ruianese.character_01.dict.yaml:387	no valid mapping; tried vau6	vau6	unresolved
質	za3	1	ruianese.character_01.dict.yaml:388	already valid	za3	ok
肴	hho5	1	ruianese.character_01.dict.yaml:389	already valid	hho5	ok
餚	hho5	1	ruianese.character_01.dict.yaml:390	already valid	hho5	ok
